,Star_name,Distance,Mass,Radius,luminosity
1.0,46.1,0.028637640000000002,0.99,0.08837618,
3.0,192,0.028637640000000002,1.63,0.08837618,
5.0,37.7,0.028637640000000002,1.09,0.08837618,
7.0,236,0.028637640000000002,1.44,0.08837618,
9.0,87.2,0.028637640000000002,0.98,0.08837618,
10.0,131,0.028637640000000002,1.43,0.08837618,
11.0,31,0.028637640000000002,0.94,0.08837618,
12.0,28.6,0.028637640000000002,0.94,0.08837618,
13.0,57,0.028637640000000002,1.62,0.08837618,
14.0,40,0.028637640000000002,1.3,0.08837618,
15.0,34,0.028637640000000002,0.94,0.08837618,
17.0,96,0.028637640000000002,1.43,0.08837618,
19.0,70,0.028637640000000002,0.98,0.08837618,
20.0,51,0.028637640000000002,0.98,0.08837618,
21.0,163,0.028637640000000002,1.62,0.08837618,
22.0,130,0.028637640000000002,1.61,0.08837618,
23.0,70,0.028637640000000002,0.97,0.08837618,
27.0,111,0.028637640000000002,0.97,0.08837618,
28.0,101,0.028637640000000002,1.53,0.08837618,
29.0,155,0.028637640000000002,1.62,0.08837618,
30.0,152,0.028637640000000002,1.41,0.08837618,
31.0,35,0.028637640000000002,0.99,0.08837618,
32.0,53,0.028637640000000002,1.08,0.08837618,
34.0,12.578,0.028637640000000002,1.27,0.08837618,
35.0,184,0.028637640000000002,1.9,0.08837618,
36.0,24,0.028637640000000002,1.9,0.08837618,
37.0,16.2,0.028637640000000002,0.97,0.08837618,
38.0,45,0.028637640000000002,0.97,0.08837618,
39.0,47,0.028637640000000002,1.15,0.08837618,
40.0,192,0.028637640000000002,1.66,0.08837618,
41.0,59,0.028637640000000002,0.95,0.08837618,
42.0,80,0.028637640000000002,1.3,0.08837618,
43.0,98,0.028637640000000002,0.98,0.08837618,
44.0,27.0,0.028637640000000002,1.04,0.08837618,
45.0,20.9,0.028637640000000002,1.43,0.08837618,
46.0,88,0.028637640000000002,1.05,0.08837618,
47.0,380,0.028637640000000002,3.78,0.08837618,
48.0,48,0.028637640000000002,1.27,0.08837618,
49.0,29.8,0.028637640000000002,1.32,0.08837618,
51.0,18.6,0.028637640000000002,0.95,0.08837618,
53.0,85,0.028637640000000002,1.09,0.08837618,
54.0,34,0.028637640000000002,1.26,0.08837618,
55.0,142,0.028637640000000002,1.97,0.08837618,
56.0,29.5,0.028637640000000002,0.97,0.08837618,
58.0,82,0.028637640000000002,1.78,0.08837618,
59.0,42,0.028637640000000002,1.00,0.08837618,
60.0,69,0.028637640000000002,1.04,0.08837618,
61.0,44,0.028637640000000002,1.00,0.08837618,
62.0,64,0.028637640000000002,1.38,0.08837618,
63.0,73,0.028637640000000002,0.97,0.08837618,
64.0,40,0.028637640000000002,1.01,0.08837618,
66.0,41.62,0.028637640000000002,1.01,0.08837618,
68.0,34.6,0.028637640000000002,1.41,0.08837618,
69.0,102,0.028637640000000002,1.51,0.08837618,
72.0,39,0.028637640000000002,0.99,0.08837618,
73.0,65,0.028637640000000002,1.01,0.08837618,
74.0,51,0.028637640000000002,1.05,0.08837618,
76.0,60,0.028637640000000002,1.03,0.08837618,
77.0,13.4,0.028637640000000002,0.98,0.08837618,
78.0,29.6,0.028637640000000002,0.94,0.08837618,
79.0,25.8,0.028637640000000002,0.94,0.08837618,
80.0,49,0.028637640000000002,0.94,0.08837618,
82.0,55,0.028637640000000002,1.03,0.08837618,
83.0,60,0.028637640000000002,2.01,0.08837618,
84.0,16.1,0.028637640000000002,0.94,0.08837618,
87.0,35,0.028637640000000002,0.98,0.08837618,
88.0,43,0.028637640000000002,0.99,0.08837618,
89.0,55,0.028637640000000002,1.15,0.08837618,
90.0,77,0.028637640000000002,0.96,0.08837618,
91.0,23.53,0.028637640000000002,1.00,0.08837618,
92.0,43,0.028637640000000002,1.00,0.08837618,
93.0,27.6,0.028637640000000002,1.07,0.08837618,
94.0,50,0.028637640000000002,0.98,0.08837618,
96.0,20.0,0.028637640000000002,0.94,0.08837618,
97.0,17.4,0.028637640000000002,0.95,0.08837618,
98.0,59,0.028637640000000002,0.96,0.08837618,
99.0,46,0.028637640000000002,0.94,0.08837618,
100.0,55,0.028637640000000002,0.98,0.08837618,
103.0,60,0.028637640000000002,1.41,0.08837618,
104.0,53,0.028637640000000002,0.97,0.08837618,
105.0,34.4,0.028637640000000002,0.94,0.08837618,
106.0,13.15,0.028637640000000002,1.07,0.08837618,
107.0,6.516,0.028637640000000002,1.02,0.08837618,
108.0,6.516,0.028637640000000002,1.01,0.08837618,
109.0,49,0.028637640000000002,1.00,0.08837618,
110.0,180,0.028637640000000002,2.39,0.08837618,
111.0,163,0.028637640000000002,1.8,0.08837618,
113.0,63,0.028637640000000002,1.24,0.08837618,
114.0,18.2,0.028637640000000002,0.96,0.08837618,
115.0,137,0.028637640000000002,2.20,0.08837618,
117.0,129,0.028637640000000002,1.50,0.08837618,
118.0,31,0.028637640000000002,1.00,0.08837618,
121.0,217,0.028637640000000002,1.71,0.08837618,
122.0,36,0.028637640000000002,0.94,0.08837618,
125.0,45.6,0.028637640000000002,0.94,0.08837618,
127.0,262,0.028637640000000002,2.00,0.08837618,
128.0,38,0.028637640000000002,0.98,0.08837618,
129.0,61,0.028637640000000002,0.98,0.08837618,
130.0,61,0.028637640000000002,0.98,0.08837618,
131.0,101,0.028637640000000002,1.01,0.08837618,
132.0,65,0.028637640000000002,0.97,0.08837618,
133.0,48,0.028637640000000002,0.94,0.08837618,
134.0,51,0.028637640000000002,1.00,0.08837618,
135.0,29.7,0.028637640000000002,0.96,0.08837618,
136.0,149,0.028637640000000002,0.99,0.08837618,
137.0,38,0.028637640000000002,1.32,0.08837618,
138.0,38.5,0.028637640000000002,1.06,0.08837618,
139.0,47,0.028637640000000002,1.03,0.08837618,
140.0,72,0.028637640000000002,1.19,0.08837618,
141.0,47,0.028637640000000002,0.99,0.08837618,
142.0,104,0.028637640000000002,1.5,0.08837618,
143.0,104,0.028637640000000002,1.3,0.08837618,
144.0,35.1,0.028637640000000002,1.05,0.08837618,
145.0,20.7,0.028637640000000002,0.94,0.08837618,
146.0,71,0.028637640000000002,0.94,0.08837618,
147.0,46,0.028637640000000002,1.02,0.08837618,
148.0,23.9,0.028637640000000002,0.99,0.08837618,
149.0,53,0.028637640000000002,1.08,0.08837618,
151.0,34,0.028637640000000002,0.99,0.08837618,
152.0,67,0.028637640000000002,0.98,0.08837618,
153.0,51,0.028637640000000002,1.00,0.08837618,
154.0,37,0.028637640000000002,0.94,0.08837618,
155.0,68,0.028637640000000002,1.43,0.08837618,
156.0,44,0.028637640000000002,1.03,0.08837618,
157.0,48,0.028637640000000002,0.94,0.08837618,
158.0,36,0.028637640000000002,0.94,0.08837618,
159.0,110,0.028637640000000002,1.03,0.08837618,
160.0,50,0.028637640000000002,0.97,0.08837618,
161.0,28,0.028637640000000002,0.94,0.08837618,
162.0,60,0.028637640000000002,1.04,0.08837618,
163.0,114,0.028637640000000002,1.40,0.08837618,
165.0,90,0.028637640000000002,0.97,0.08837618,
166.0,39,0.028637640000000002,0.95,0.08837618,
167.0,18.5,0.028637640000000002,1.07,0.08837618,
168.0,138,0.028637640000000002,1.01,0.08837618,
169.0,46,0.028637640000000002,1.22,0.08837618,
170.0,105,0.028637640000000002,1.88,0.08837618,
171.0,65,0.028637640000000002,0.96,0.08837618,
172.0,47,0.028637640000000002,1.02,0.08837618,
174.0,62,0.028637640000000002,1.02,0.08837618,
175.0,80,0.028637640000000002,1.53,0.08837618,
176.0,113,0.028637640000000002,1.21,0.08837618,
177.0,32.1,0.028637640000000002,0.96,0.08837618,
178.0,26.3,0.028637640000000002,0.99,0.08837618,
180.0,93,0.028637640000000002,1.33,0.08837618,
181.0,154,0.028637640000000002,1.41,0.08837618,
182.0,38,0.028637640000000002,0.99,0.08837618,
183.0,35,0.028637640000000002,0.94,0.08837618,
184.0,64,0.028637640000000002,1.04,0.08837618,
185.0,56,0.028637640000000002,1.29,0.08837618,
186.0,56,0.028637640000000002,1.39,0.08837618,
187.0,148,0.028637640000000002,1.59,0.08837618,
188.0,67,0.028637640000000002,1.16,0.08837618,
189.0,74,0.028637640000000002,1.09,0.08837618,
227.0,20,0.028637640000000002,1.17,0.08837618,
231.0,35.9,0.028637640000000002,4.2,0.08837618,
232.0,35.9,0.028637640000000002,3.8,0.08837618,
286.0,25.3,0.028637640000000002,0.86,0.08837618,
0.0,Sun,0.000015813,1,1,1
1.0,Sirius,0008.6,2.1,1.71,25.4
2.0,Canopus,0310,15,71,"13,500"
3.0,Alpha Centauri,0004.4,1.1,1.2,2
4.0,Arcturus,0037,1.1,26,170
5.0,Vega,0025,2.2,2.7,50
6.0,Capella,0043,2.6,12,150
7.0,Rigel,0860,23,78.9,"120,000"
8.0,Procyon,0011.4,1.5,1.9,7.7
9.0,Betelgeuse,0640[1],20,950,"60,000"
10.0,Achernar,0144,6.7,9.3,"3,000"
11.0,Hadar,0390,10.5,8.6,"42,000"
